file,citation_title,abstracts,authors,affiliations,classifications,subject_area_name
1007.html,Self/Image: Reading the Visual in Atwood's Fictive Autobiographies,"Margaret Atwood's extensive back catalogue includes a group of fictive autobiographies, each engaged in a self-reflexive consideration of the problems involved in writing a life story. These fictive meta-autobiographies consciously critique any act of self-representation within narrative in a radical challenge to phallogocentric models of life-writing and truth-telling. This group of texts (including Cat's Eye [1988], Lady Oracle [1976], The Handmaid's Tale [1985], and The Blind Assassin [2000], as well as some of Atwood's poetry) also incorporates a dominant use of visual images, particularly photographs: each extending questions involving the ""real,"" the ""copy,"" origination, attribution, and authority. These questions open up new ways of considering how text and image conspire to defer certainty in the objective and subjective ""real,"" as Atwood's visual texts prove to be as duplicitous as the language through which they are narrated. This article connects with critical accounts of life-writing and with Susan Sontag's reflections on photography in order to discuss the status of the visual image as an agent of representation within any autobiographical account. © The Author(s) 2017. Published by Oxford University Press; all rights reserved.",Davies Madeleine,-,-,-
1008.html,How Far Would You Go? Trajectories of Revenge in Margaret Atwood's Short Fiction,"In many of Margaret Atwood's stories, neither love nor money makes the world or, rather, the plot go round. The prime interest and profit for her offended protagonists often derives from a satisfactorily accomplished revenge. The ancient law of talion, of an-eye-for-an-eye, presides over these stories. This paper explores the two main responses to injury and aggression that correspond to the chronological trajectory of Atwood's writings. In her early short fiction, retaliatory drives are typically directed inward. The (mainly female) victims tend to punish themselves rather than their aggressors. In the later fiction, by contrast, outer-directed reprisal becomes the reactive rule. As selected instances will show, Atwood's human and nonhuman avengers, including nature itself, increasingly find varied ways to strike back at offenders. © The Author(s) 2018. Published by Oxford University Press; all rights reserved.",Barzilai Shuli,-,-,-
1009.html,"Imagining beyond Extinctathon: Indigenous Knowledge, Survival, Speculation - Margaret Atwood's and Ann Patchett's Eco-Gothic",-,Wisker Gina,University of Brighton\University of Southern Queensland\United Kingdom,-,-
101.html,Metal ion formed conductive filaments by redox process induced nonvolatile resistive switching memories in MoS2film,"In this work, the resistive switching mechanism of metal/MoS2/Ti/Si devices with different metal acts top electrode materials have been investigated. The device represents an outstanding memory behavior with larger storage window when using Ag acts top electrode. This work reveals that Ag filaments can be easily formed by redox process in MoS2film.                          © 2017 Elsevier B.V.",Xia Yudong; Sun Bai; Wang Hongyan; Zhou Guangdong; Kan Xiang; Zhang Yong; Zhao Yong,School of Physical Science and Technology\Southwest Jiaotong University\China; Key Laboratory of Magnetic Levitation Technologies and Maglev Trains\Ministry of Education of China\China; State Key Laboratory of Electronic Thin Films and Integrated Devices\University of Electronic Science and Technology of China\China; Institute for Clean Energy & Advanced Materials (ICEAM)\Southwest University\China,-,Conductive filaments; MoS2film; Nonvolatile; Redox process; Resistive switching
1010.html,Margaret Atwood's Reception in Canada and the United States: A Comparative Analysis of North American Reviews of the Blind Assassin,"Based on a large corpus of reviews from Canada and the USA and taking into account my recent large-scale study of the reception of Margaret Atwood's earlier novels in both North American countries, this article investigates how the reviewer's nationality and that of the review's target audience factor into the reception of a writer's works. This is exemplarily documented in a case study of Atwood's novel The Blind Assassin (2000), published at the end of her middle creative period. What do the reviews focus on and are there any striking differences attributable to the national and cultural context the review was written in and for? Was the evaluative response to the novel in the two North American countries similar or did it deviate significantly? © The Author(s) 2017. Published by Oxford University Press; all rights reserved.",Nischik Reingard M.,-,-,-
1011.html,Aging and Subjectivity in Margaret Atwood's Fiction,-,Tolan Fiona,-,-,-
1012.html,"MaddAddam, Biocapitalism, and Affective Things","This essay considers the ethical dimensions of Atwood's recent speculative fiction, the MaddAddam trilogy (2003-14), alongside a framework that Nikolas Rose, Sunder Rajan, and others term as biocapitalism. The trilogy imagines the social, cultural, affective, and ecological implications of the convergence of capitalism and biotechnology. In the MaddAddam trilogy, the fantasy of human independence and invulnerability central to neoliberalism and biocapitalism is depicted at its devastating endgame, in which the unbridled commodification of life has resulted in its near annihilation. Atwood's novels suggest that we ignore interdependence, affectivity, and responsibility to our peril, evoking a posthumanist perspective in the dramatization of a catastrophic anthropocentrism that regards organic matter - the world's flora and fauna, the human body's cellular data - as marketable, utilitarian objects. © The Author(s) 2017. Published by Oxford University Press; all rights reserved.",Defalco Amelia,-,-,-
1013.html,"""i could say that, too"": An Interview with Margaret Atwood",-,Tolan Fiona,-,-,-
1014.html,Introduction,-,Tolan Fiona,-,-,-
1015.html,"True Trash: Genre Fiction Revisited in Margaret Atwood's Stone Mattress, the Heart Goes Last, and Hag-Seed",-,Howells Coral,University of Reading\University of London\United Kingdom,-,-
1016.html,Developing a strategy of environmental management for electric generating companies using DEA-methodology,"This paper investigates the possibility of utilization of the Data Envelopment Analysis (DEA), which is a non-parametric method of optimization, to solving problems of environmental management in electric generating companies. An advantage of DEA is the possibility to work with DMUs without any knowledge of the actual functional relation between inputs and outputs. We analyze methods of incorporating the negative ecologic effects into a model and propose an algorithm for applying the basic DEA CCR input-oriented model twice in succession for the purpose of developing an optimal (ecologically and economically) strategy for environmental management in electricity energy generating companies. The developed method consists of sequentially solving several DEA models: the first-stage model determines the effectiveness of DMUs from an ecologic perspective and calculates target values for decreasing negative ecologic effects of non-effective DMUs. The second stage requires solving one input-oriented CCR model for each non-effective object, using economic and social characteristics of projects meant to reduce negative environmental influence, and using the target values calculated in the first stage as outputs. Besides the problem of evaluation the comparative efficiency of DMUs, ecologically oriented studies also often needs to evaluate the changes in a DMU’s efficiency dynamically. For this, the Malmquist productivity index (MPI) is used. MPI is a non-parametric method for analyzing time series that allows to track changes in DMU efficiency over time by means of DEA models. We test this algorithm on the statistical data provided by Russian electric companies for the period 2009-2011, and discuss methods for its practical application. The statistical data used in our calculations is averaged, and the results do not reflect the entire picture and should not be used to judge the quality of ecologic management in these companies. Nevertheless, the calculations can be used to evaluate the progress of completion and the practicality of investment projects of companies, from an environmental viewpoint. They also may be used to help develop state programs for support of modernization in electric energy industry, ecologic standards or energy-saving programs. © 2017 ASSA.",Ratner Svetlana; Ratner Pavel,V.A. Trapeznikov Institute of Control Sciences\Russian Academy of Sciences\Russian Federation,-,Data envelopment analysis; Ecologic effects; Ecology management; Electric companies; Environmental management; Non-parametric optimization
1017.html,Long-Term Underwater Hydrophobicity: Exploring Topographic and Chemical Requirements,"A family of hybrid organoinorganic silica-based particles with varied chemical natures and morphologies has been synthesized to test their ability to develop coatings with underwater hydrophobicity. The particles were characterized by elemental microanalysis, scanning electron microscopy, and dynamic light scattering to evaluate the organic content, observe the morphology, and estimate the aggregate size, respectively. These morphologies were transferred into surface topographies by spraycoating dispersions made from the particles onto glass supports, resulting in coatings with an ample range of profiles and roughness but all of them being superhydrophobic. Atomic force microscopy and optical profilometry were used to map the coating surfaces and analyze the topography. Then, underwater hydrophobicity endurance was tested by immersion under a 2 cm 20 °C water column perpendicular to circular glass supports coated with the particles. The so-called mirror effect derived from the occurrence of the primary plastron (continuous air layer occluded between the surface and the water) was observed on the surface of all of the coatings tested. Apart from the dependency of plastrons on the water temperature and substrate shape, the plastron quality and lifetime is notably different depending on the particle morphology and thus on the coating topography. These experiments have demonstrated that the most persistent mirror effects, and therefore underwater superhydrophobicity, were produced on coatings that exhibited the smoothest topographies at the micrometric scale. In addition, these particle-only coatings can be made mechanically stable and robust by blending with a polymer matrix. © 2017 American Chemical Society.",Martínez-Gómez Aránzazu; López Silvia; García Teresa; De Francisco Raquel; Tiemblo Pilar; García Nuria,Instituto de Ciencia y Tecnología de Polímeros\ICTP-CSIC\Spain,-,-
1018.html,Preparation of Gold Nanocomposites with Tunable Charge and Hydrophobicity via the Application of Polymer/Surfactant Complexation,"During the synthesis of gold nanoparticle (NP) assemblies, the interfacial charge and hydrophobicity of the primary particles play a distinguished role. In the present article, we demonstrate that the association of poly(ethyleneimine) (PEI) capped gold NPs with sodium alkyl sulfates provide a powerful route for the manipulation of these interfacial properties. Dynamic light-scattering, electrophoretic mobility, UV-vis-near-infrared spectroscopy, nanoparticle tracking analysis, and transmission electron microscopy measurements were used to characterize the PEI/surfactant/gold nanoassemblies. The results indicate the formation of gold NPs surrounded by a PEI/surfactant shell with composition-dependent charge and hydrophobicity. The mean size and the aggregation of the nanoassemblies can be fine tuned by the amount of surfactant bound to the primary gold NPs as well as by the application of controlled mixing methods. The specific features of the prepared nanocomposites may be further exploited in next-generation applications. © 2017 American Chemical Society.",Bali Krisztina; Sáfrán György; Pécz Béla; Mészáros Róbert,Laboratory of Interfaces and Nanosized Systems\Institute of Chemistry\Hungary; Research Institute for Technical Physics and Materials Sciences (RITP)\Centre for Energy Research\Hungary; Department of Chemistry\University J. Selyeho\Slovakia,-,-
1019.html,Synthesis of core–shell structured FAU/SBA-15 composite molecular sieves and their performance in catalytic cracking of polystyrene,"Composite molecular sieves, FAU/SBA-15, having core-shell structure were synthesized. The synthesized composite sieves were characterized by X-ray diffractometry (XRD), scanning electron microscopy (SEM), transmission electron microscopy (TEM), energy dispersive X-ray spectroscopy (EDS), pyrolysis fourier transform infrared (Py-FTIR) spectroscopy, temperature programmed desorption spectra (NH3-TPD), UV Raman spectroscopy, nuclear magnetic resonance (NMR) and other techniques. XRD, SEM, TEM, N2adsorption-desorption, mass spectrometry, NMR and EDS results showed that the composite molecular sieve contained two pore channels. Py-FTIR results showed that the addition of HY molecular sieves improved the acidity of the composite zeolite. The crystallization mechanism during the growth of FAU/SBA-15 shell was deduced from the influence of crystallization time on the synthesis of FAU/SBA-15 core-shell structured composite molecular sieve. HY dissociated partially in H2SO4solution, and consisted of secondary structural units. This framework structure was more stable than its presence in the isolated form on the same ring or in the absence of Al. Thus it played a guiding role and connected with SBA-15 closely through the Si-O bond. This resulted in the gradual covering of the exterior surface of FAU phase by SBA-15 molecular sieves. The presence of SBA-15 restricted the formation of the other high mass components and increased the selectivity towards ethylbenzene. © 2017 The Author(s). Published by National Institute for Materials Science in partnership with Taylor & Francis.",Du Jinlong; Shi Chunwei; Wu Wenyuan; Bian Xue; Chen Ping; Cui Qingzhu; Cui Zhixuan,College of Chemistry\Chemical Engineering and Environmental Engineering\China; Metallurgy Institute\Northeastern University\China; Department of Applied Organic Materials Engineering\Inha University\South Korea,-,composite molecular sieve; Core–shell; FAU; growth mechanism; SBA-15
102.html,Mitigating ammonia emission from agriculture reduces PM2.5pollution in the Hai River Basin in China,"The Hai River Basin (HRB), one of the most populated areas in China, is experiencing high NH3emissions, mostly from agricultural sources, and suffering from strongly enhanced PM2.5concentrations in all urban areas. Further population growth and urbanization projected until 2030 may exacerbate this situation. Here, the NUFER (NUtrient flows in Food chains, Environment and Resources use) and GAINS (Greenhouse gas – Air pollution Interactions and Synergies) models have been coupled for the first time to understand possible changes of agricultural NH3emission between 2012 and 2030 and their impacts on ambient PM2.5concentrations, and to explore options to improve this situation. Results show that agricultural ammonia emissions in the HRB were 1179 kt NH3in 2012, 45% of which was from the hotspots at or near conurbation areas, including Beijing-Tianjin, Tangshan-Qinhuangdao, Shijiazhuang-Baoding, Dezhou, Handan-Liaocheng, and Xinxiang. Without intervention, agricultural ammonia emissions will further increase by 33% by 2030. The impacts of several scenarios were tested with respect to air pollution. Compared to the business-as-usual scenario, a scenario of improved technology and management combined with human diet optimization could greatly reduce emission (by 60%), and lead to 22–43% and 9–24% decrease of the secondary inorganic aerosols and PM2.5concentrations, respectively, in the hotspots of NH3emissions. Our results further confirmed that ammonia control is needed for air pollution abatement strategies (SO2, NOxand primary PM reduction) to be effective in terms of PM2.5. © 2017 Elsevier B.V.",-,Key Laboratory of Agricultural Water Resources\Center for Agricultural Resources Research\China; University of Chinese Academy of Sciences\Beijing\China; International Institute for Applied Systems Analysis (IIASA)\Schlossplatz 1\Austria,-,Air pollution; Atmospheric model; Beijing-Tianjin-Hebei region; Nitrogen; PM2.5concentration
1020.html,Employee motivation in Saudi Arabia: An investigation into the higher education sector,"This book investigates the relevance of Maslow's hierarchy of needs as a theory of motivation, whilst taking into account variances in culture and individual experiences and perspectives. Focussing on higher education, the book responds to the call for providing alternative conceptual models, other than those originating from the Anglo-Saxon world. The authors take a contextual approach and use the case of Saudi Arabia to understand motivation in a collectivist, highly religious and conservative society of the Middle East. Providing empirical findings from a study carried out at two Saudi universities differing in their religious outlook, this book reveals a hierarchy of needs that is significantly different from the theory proposed by Maslow. Religion, culture and gender are explored in detail as the authors investigate the relevance of Maslow's theory in a region that is of growing interest to policy-makers and practitioners in North America and Europe, offering a truly insightful read to an international audience. © The Author(s) 2018. All Rights Reserved.",Fallatah Rodwan Hashim Mohammed; Syed Jawad,University of Kent\Canterbury\United Kingdom; Suleman Dawood School of Business\Lahore University of Management Sciences\Pakistan,-,-
1021.html,Sport,"During the Soviet period, the presence of political orders from above gave rise to institutions of sport designed to carry out these orders. As Yury Vlasov wrote, “the constructed system of Soviet sport” saw itself as a bureaucratic apparatus with inherent rules of conduct and underpinned by a system of grassroots organisations, such as sports clubs. 1 This “constructed system” had a general ideology of total record-getting from top to bottom and across all forms of sporting competition. The ideology spread to mass and children’s sport, which were soon viewed as de facto reserves (talent pools) for elite sport—even as the mass sport segment was resource-constrained in the system of physical education and sport. © The Editor(s) and The Author(s) 2018.",Adelfinsky Andrey; Anashvili Valery,Bauman Moscow State Technical University\Moscow\Russian Federation; Centre for Contemporary Philosophy and Social Sciences\Moscow State University\Russian Federation,-,-
1022.html,Pyridylhydroxybutyl and pyridyloxobutyl DNA phosphate adduct formation in rats treated chronically with enantiomers of the tobacco-specific nitrosamine metabolite 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol,"The tobacco-specific lung carcinogen 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone (NNK) is metabolically converted to 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol (NNAL) in a reaction which is both stereoselective and reversible. NNAL is also a lung carcinogen, with both (R)- NNAL and (S)-NNAL inducing a high incidence of lung tumours in rats. Both NNAL and NNK undergo metabolic activation to intermediates which react with DNA to form pyridylhydroxybutyl and pyridyloxobutyl DNA adducts, respectively. DNA adduct formation by NNAL and NNK is an important step in their mechanisms of carcinogenesis. In this study, we quantified both pyridylhydroxybutyl and pyridyloxobutyl DNA phosphate adducts in the lung of rats treated with 5 ppm of (R)-NNAL or (S)-NNAL in drinking water for 10, 30, 50 and 70 weeks. In (R)-NNAL-treated rats, the pyridylhydroxybutyl and pyridyloxobutyl phosphate adducts were 4530-6920 fmol/mg DNA and 46-175 fmol/mg DNA, accounting for 45-51% and 0.3-1% of the total measured DNA phosphate and base adducts, respectively. In (S)-NNAL-treated rats, the two types of phosphate adducts were 3480-4180 fmol/mg DNA and 1180-4650 fmol/mg DNA, accounting for 30-36% and 11-38% of the total adducts, respectively. Distinct patterns of adduct formation were observed, with higher levels of NNAL-derived pyridylhydroxybutyl phosphate adducts and lower levels of NNK-derived pyridyloxobutyl phosphate adducts in the (R)-NNAL treatment group than the (S)- NNAL group. The persistence and increase over time of certain pyridylhydroxybutyl phosphate adducts over the course of the study suggest that these adducts could be useful biomarkers of chronic exposure to NNAL and NNK. The results of this study provide important new information regarding DNA damage by NNAL and NNK, and contribute to understanding mechanisms of tobacco-related carcinogenesis. © The Author(s) 2017. Published by Oxford University Press on behalf of the UK Environmental Mutagen Society. All rights reserved.",Ma Bin; Zarth Adam T.; Carlson Erik S.; Villalta Peter W.; Stepanov Irina; Hecht Stephen S.,Masonic Cancer Center\University of Minnesota\United States,-,-
1023.html,Folate deficiency induces mitotic aberrations and chromosomal instability by compromising the spindle assembly checkpoint in cultured human colon cells,"Folates comprise the essential B9 vitamin that act as cofactors and cosubstrates in one-carbon metabolism for both biosynthesis and methylation of DNA and RNA. Folate deficiency (FD) has been shown to induce chromosomal instability (CIN), yet the underlying mechanisms are poorly understood. Here, we used human NCM460 colon mucosal cells as a model to investigate the effect of FD on spindle assembly checkpoint (SAC), a cell-cycle regulatory pathway preventing CIN during mitosis. Cells were maintained in medium containing 1.36 (FD) and 2260 nM (control, FC) folate for 21 days. CIN was measured by cytokinesis-block micronucleus assay; mitotic infidelity was determined by aberrant mitosis analysis; SAC activity was assessed by nocodazole-challenge assay, and the expression of core SAC genes was examined by real-time quantitative PCR (RT-qPCR). We found that, relative to FC, FD significantly induced CIN in a time-dependent way (P < 0.01). Mitotic cells cultured in FD medium had significant higher frequencies of misalignment, misegregation and spindle multipolarity than those cultured in FC medium (P < 0.01). FD-induced SAC impairment and overriding, resulting premature mitotic exit and cell multinucleation (P < 0.05). Moreover, FD deregulated the expression of several key SAC genes (P < 0.01). Overall, these data are the first to demonstrate that FD substantially compromises SAC network which predisposes cells to mitotic aberrations and CIN. These results establish a new link between folate metabolism and SAC signalling, two pathways that are highly relevant for tumorigenesis. © The Author(s) 2017. Published by Oxford University Press on behalf of the UK Environmental Mutagen Society. All rights reserved.",Guo Xihan; Ni Juan; Zhu Yuqian; Zhou Tao; Ma Xiaoling; Xue Jinglun; Wang Xu,School of Life Sciences\Engineering Research Center of Sustainable Development and Utilization of Biomass Energy\China; School of Life Sciences\Yunnan University\China; China Gene Health Management Group\Ltd.\China,-,-
1024.html,Novel mutations in the lipase H gene lead to secretion defects of LIPH in Chinese patients with autosomal recessive woolly hair/hypotrichosis (ARWH/HT),"Autosomal recessive woolly hair/hypotrichosis (ARWH/HT: OMIM #278150/604379) is a rare hereditary hair disease characterized by tightly curled hair at birth which can lead to sparse hair later in life. The mutations in both LIPH and LPAR6/P2RY5 are responsible for autosomal recessive woolly hair with or without hypotrichosis (ARWH/HT). To conduct clinical and genetic investigations in four patients from three unrelated Chinese Han families with ARWH/HT, we performed mutation screening of LIPH and LPAR6/P2RY5 gene and identified four mutations in LIPH: c.454G>A, c.614A>G, c.736T>A, c.742C>A. c.736T>A and c.742C>A mutations were reported in previous studies, and c.454G>A, c.614A>G were identified for the first time. We carried out functional studies of the two mutants with c.454G>A (p.Gly152Arg, G152R) or c.614A>G (p.His205Arg, H205R). Interestingly, both of them lead to secretion defects of LIPH, which are involved in the pathogenesis of ARWH/HT. © The Author(s) 2018. Published by Oxford University Press on behalf of the UK Environmental Mutagen Society. All rights reserved.",Chang Xiao-Dan; Gu Ya-Juan; Dai Shan; Chen Xue-Rong; Zhang Chun-Lei; Zhao Hong-Shan; Song Qing-Hua,Department of Dermatology\Peking University Third Hospital\China; Department of Medical Genetics\School of Basic Medical Sciences\China; Human Disease Genomics Center\Peking University\China,-,-
1025.html,"Influence of dispersion medium on nanomaterial-induced pulmonary inflammation and DNA strand breaks: Investigation of carbon black, carbon nanotubes and three titanium dioxide nanoparticles","Intratracheal instillation serves as a model for inhalation exposure. However, for this, materials are dispersed in appropriate media that may influence toxicity. We tested whether different intratracheal instillation dispersion media influence the pulmonary toxicity of different nanomaterials. Rodents were intratracheally instilled with 162 μg/mouse/1620 μg/rat carbon black (CB), 67 μg/mouse titanium dioxide nanoparticles (TiO2) or 54 μg/mouse carbon nanotubes (CNT). The dispersion media were as follows: water (CB, TiO2); 2% serum in water (CB, CNT, TiO2); 0.05% serum albumin in water (CB, CNT, TiO2); 10% bronchoalveolar lavage fluid in 0.9% NaCl (CB), 10% bronchoalveolar lavage (BAL) fluid in water (CB) or 0.1% Tween-80 in water (CB). Inflammation was measured as pulmonary influx of neutrophils into bronchoalveolar fluid, and DNA damage as DNA strand breaks in BAL cells by comet assay. Inflammation was observed for all nanomaterials (except 38-nm TiO2) in all dispersion media. For CB, inflammation was dispersion medium dependent. Increased levels of DNA strand breaks for CB were observed only in water, 2% serum and 10% BAL fluid in 0.9% NaCl. No dispersion medium-dependent effects on genotoxicity were observed for TiO2, whereas CNT in 2% serum induced higher DNA strand break levels than in 0.05% serum albumin. In conclusion, the dispersion medium was a determinant of CB-induced inflammation and genotoxicity. Water seemed to be the best dispersion medium to mimic CB inhalation, exhibiting DNA strand breaks with only limited inflammation. The influence of dispersion media on nanomaterial toxicity should be considered in the planning of intratracheal investigations. © The Author(s) 2017. Published by Oxford University Press on behalf of the UK Environmental Mutagen Society.",Hadrup Niels; Bengtson Stefan; Jacobsen Nicklas R; Jackson Petra; Nocun Marek; Saber Anne T; Jensen Keld A; Wallin Håkan; Vogel Ulla,National Research Centre for the Working Environment\Lersø Parkallé 105\Denmark; Department of Toxicology and Carcinogenesis\Nofer Institute of Occupational Medicine\Poland; Department of Biological and Chemical Work Environment\National Institute of Occupational Health\Norway,-,-
