title,author,journal,year,abstract,url,citations
Feature engineering for machine learning and data analytics,"['G Dong', 'H Liu']",,2018,"Hence, this book contains chapters on feature engineering for major data types such as texts  engineering concepts and techniques, which are an important part of machine learning and",https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?article=5365&context=sis_research,368
Machine learning engineering,['A Burkov'],,2020,"Learning Engineering, the book Machine Learning Engineering, Download Online  Machine Learning Engineering Book, Download pdf Machine Learning Engineering, Pdf",https://www.saint-gobain.co.in/sites/saint-gobain.co.in/files/webform/apply_for_indec/_sid_/machine-learning-engineering-andriy-burkov-pdf-download-free-book-c6498c8.pdf,127
Machine learning: Overview of the recent progresses and implications for the process systems engineering field,"['JH Lee', 'J Shin', 'MJ Realff']",,2018,"In this paper, we will make a critical assessment of the recent developments in machine  learning, Deep Learning and reinforcement learning in particular. We will see what motivates the",https://www.sciencedirect.com/science/article/pii/S0098135417303538,446
Error metrics and performance fitness indicators for artificial intelligence and machine learning in engineering and sciences,"['MZ Naser', 'AH Alavi']",,2023,Artificial intelligence (AI) and Machine learning (ML) train machines to achieve a high level of  cognition and perform human-like analysis. Both AI and ML seemingly fit into our daily lives,https://link.springer.com/article/10.1007/s44150-021-00015-8,264
Applications of machine learning methods for engineering risk assessment–A review,"['J Hegde', 'B Rokseth']",,2020,"utilizing machine learning methods to aid in engineering risk  the databases of Scopus and  Engineering Village. The search  , such as the type of machine learning algorithm used, the",https://www.sciencedirect.com/science/article/pii/S0925753519308835,362
Machine learning for reliability engineering and safety applications: Review of current status and future opportunities,"['Z Xu', 'JH Saleh']",,2021,"literature on Machine Learning (ML) for reliability engineering and  Machine learning pervades  an increasing number of fields,  Roughly speaking, “machine learning [is] a set of methods",https://www.sciencedirect.com/science/article/pii/S0951832021000892,364
Machine-learning methods for computational science and engineering,"['M Frank', 'D Drikakis', 'V Charissis']",,2020,"machine learning (ML), observed over the last few decades, has also percolated into natural  sciences and engineering ML for computational science and engineering. We discuss ways",https://www.mdpi.com/2079-3197/8/1/15,189
Machine learning for biochemical engineering: A review,"['M Mowbray', 'T Savage', 'C Wu', 'Z Song', 'BA Cho']",,2021,"engineering. We review the use of machine learning within biochemical engineering over  the  The most prevalent machine learning methods are demystified, and their impact across",https://www.sciencedirect.com/science/article/pii/S1369703X21001303,147
"Artificial intelligence, machine learning, and deep learning in structural engineering: a scientometrics review of trends and best practices","['ATG Tapeh', 'MZ Naser']",,2023,"Artificial Intelligence (AI), machine learning (ML), and deep learning (DL) are emerging  techniques capable of delivering elegant and affordable solutions which can surpass those",https://link.springer.com/article/10.1007/s11831-022-09793-w,150
A brief introduction to machine learning for engineers,['O Simeone'],,2018,", machine learning can offer an efficient alternative to the conventional engineering flow when   In order to identify tasks for which machine learning methods may be useful, reference [31]",https://www.nowpublishers.com/article/DownloadSummary/SIG-102,243
Machine learning and data science in soft materials engineering,['AL Ferguson'],,2017,an introduction to machine learning tools in the context of soft and biological materials  engineering. We first endeavor to 'de-jargonize' data science and machine learning terminology in,https://iopscience.iop.org/article/10.1088/1361-648x/aa98bd/ampdf,197
Engineering safety in machine learning,['KR Varshney'],,2016,"To the best of our knowledge, there is no existing work on analyzing machine learning  in  formulating machine learning problems. We find that applications of machine learning systems",https://ieeexplore.ieee.org/iel7/7882033/7888130/07888195.pdf,170
A software engineering perspective on engineering machine learning systems: State of the art and challenges,['G Giray'],,2021,"in machine learning (ML) lead to a shift from the traditional view of software development,  where algorithms are hard-coded by humans, to ML systems materialized through learning",https://www.sciencedirect.com/science/article/pii/S016412122100128X,180
Engineering problems in machine learning systems,"['H Kuwajima', 'H Yasuoka', 'T Nakae']",,2020,We hypothesize the engineering process for machine learning models in Fig. 2. The dotted  boxes in the figure illustrate the differences between the conventional training process and,https://link.springer.com/article/10.1007/s10994-020-05872-w?code=2c0c0228-4ff9-45e6-9285-d6dace01edc0,85
Machine learning-aided engineering of hydrolases for PET depolymerization,"['H Lu', 'DJ Diaz', 'NJ Czarnecki', 'C Zhu', 'W Kim', 'R Shroff']",,2022,"Here, we use a structure-based, machine learning algorithm to engineer a robust and  active PET hydrolase. Our mutant and scaffold combination (FAST-PETase: functional, active,","/scholar?output=instlink&q=info:YbLuTlL-ZnEJ:scholar.google.com/&hl=en&as_sdt=0,33&scillfp=10641273750958151107&oi=lle",747
Machine learning in enzyme engineering,"['S Mazurenko', 'Z Prokop', 'J Damborsky']",,2019,"Enzyme engineering plays a central role in developing  evolution approaches, machine  learning methods have been  validating predictors in enzyme engineering. We discuss current",https://pubs.acs.org/doi/full/10.1021/acscatal.9b04321,369
Feature engineering for machine learning: principles and techniques for data scientists,"['A Zheng', 'A Casari']",,2018,"In the process of building a brand new machine learning platform for data scientists, we  discovered that the world needs a more systematic understanding of feature engineering. Thank",,1330
"Machine learning in chemical engineering: strengths, weaknesses, opportunities, and threats","['MR Dobbelaere', 'PP Plehiers', 'R Van de Vijver']",,2021,"machine learning today, applied to chemical engineering. In what follows, the growing potential  of machine learning in chemical engineering  machine learning in chemical engineering",https://www.sciencedirect.com/science/article/pii/S2095809921002010,204
The promise of implementing machine learning in earthquake engineering: A state-of-the-art review,"['Y Xie', 'M Ebad Sichani', 'JE Padgett']",,2020,"Machine learning (ML) has evolved rapidly over recent years  engineering fields, such as  material science, bioengineering, construction management, and transportation engineering.",https://journals.sagepub.com/doi/full/10.1177/8755293020919419,391
Software engineering for machine-learning applications: The road ahead,"['F Khomh', 'B Adams', 'J Cheng', 'M Fokaefs']",,2018,and intelligence have led to breakthroughs in machine learning (ML) and artificial intelligence  (AI engineering (SE) and ML communities to research and develop innovative approaches,https://ieeexplore.ieee.org/iel7/52/8474478/08474484.pdf,117
Machine learning for risk and resilience assessment in structural engineering: Progress and future trends,"['X Wang', 'RK Mazumder', 'B Salarieh']",,2022,"Since the origin of the terminology machine learning in the computer science field in the  1940s, ML methods practically remained out of interest in structural engineering for a long time",https://www.researchgate.net/profile/Ram_Krishna_Mazumder/publication/361244705_Machine_Learning_for_Risk_and_Resilience_Assessment_in_Structural_Engineering_Progress_and_Future_Trends/links/62a585bba3fe3e3df870b829/Machine-Learning-for-Risk-and-Resilience-Assessment-in-Structural-Engineering-Progress-and-Future-Trends.pdf,101
Requirements engineering for machine learning: Perspectives from data scientists,"['A Vogelsang', 'M Borg']",,2019,"Machine learning (ML) is used increasingly in real-world applications. In this paper, we describe  our ongoing endeavor to define characteristics and challenges unique to Requirements",https://ieeexplore.ieee.org/iel7/8932374/8933534/08933800.pdf,249
Machine learning in process systems engineering: Challenges and opportunities,"['P Daoutidis', 'JH Lee', 'S Rangarajan', 'L Chiang']",,2024,"This “white paper” is a concise perspective of the potential of machine learning in the process  systems engineering (PSE) domain, based on a session during FIPSE 5, held in Crete,",https://www.sciencedirect.com/science/article/pii/S0098135423003939,28
Data-driven aerospace engineering: reframing the industry with machine learning,"['SL Brunton', 'J Nathan Kutz', 'K Manohar', 'AY Aravkin']",,2021,engineering problems. Physics informed simply refers to our ability to constrain the learning  process by physical and/or engineering  energy can be imposed in the learning process [22].,https://arc.aiaa.org/doi/full/10.2514/1.J060131,220
Machine learning,['ZH Zhou'],,2021,"science, computer engineering, electrical engineering, data science, and related majors.  It is also a useful reference resource for researchers and practitioners of machine learning.",,2738
"Data-driven science and engineering: Machine learning, dynamical systems, and control","['SL Brunton', 'JN Kutz']",,2022,,https://www.researchgate.net/profile/Steven-Brunton-2/publication/331230334_Singular_Value_Decomposition_SVD/links/5e229cb5299bf1e1fab9fc1a/Singular-Value-Decomposition-SVD.pdf,2894
How do engineers perceive difficulties in engineering of machine-learning systems?-questionnaire survey,"['F Ishikawa', 'N Yoshioka']",,2019,"There is increasing interest in machine learning (ML)  systems, investigation into engineering  disciplines and methods is  the software engineering research community as engineering of",https://ieeexplore.ieee.org/iel7/8826388/8836130/08836142.pdf,130
A Novel Machine Learning Approaches for Issues in Civil Engineering,"['F Tahir', 'L Ghafoor']",,2023,"In civil engineering, random forests can be used to predict the behavior of structures or to   In summary, machine learning techniques are a valuable tool in civil engineering that can be",https://easychair.org/publications/preprint_download/Rcrz,72
"Perspectives on the impact of machine learning, deep learning, and artificial intelligence on materials, processes, and structures engineering","['DM Dimiduk', 'EA Holm', 'SR Niezgoda']",,2018,no emerging AI-based engineering design systems that recognize  that “\(\dots \)machine  learning is likely to be one of the most  in any long-range development of engineering practices.,https://link.springer.com/article/10.1007/s40192-018-0117-8,365
Application of machine learning in predicting performance for computer engineering students: A case study,"['D Buenaño-Fernández', 'D Gil', 'S Luján-Mora']",,2019,"of Machine Learning Techniques In this research, we used data mining and machine learning   the Computer Systems Engineering Degree, supervised learning techniques were applied",https://www.mdpi.com/2071-1050/11/10/2833,153
Machine learning for glass science and engineering: A review,"['H Liu', 'Z Fu', 'K Yang', 'X Xu', 'M Bauchy']",,2021,"in machine learning  machine learning for accelerating the discovery and optimization of  novel, advanced materials. Here, we review some recent progress in adopting machine learning",https://www.sciencedirect.com/science/article/pii/S0022309319302662,150
Feature engineering of machine-learning chemisorption models for catalyst design,"['Z Li', 'X Ma', 'H Xin']",,2017,We integrate machine-learning algorithms into the descriptor-based design approach for  rapid screening of transition-metal catalysts. By engineering numerical representation of,https://www.sciencedirect.com/science/article/pii/S0920586116302760,259
Machine learning for metabolic engineering: A review,"['CE Lawson', 'JM Martí', 'T Radivojevic']",,2021,"of machine learning in metabolic engineering terms, in the  We explore the promises of  machine learning, as well as its  case that machine learning can take metabolic engineering to the",https://www.sciencedirect.com/science/article/pii/S109671762030166X,227
Advances in machine learning applications in software engineering,"['D Zhang', 'JJP Tsai']",,2006,"engineering data in terms of machine learning methods. It depicts applications of several  machine learning  , and the use of machine learning methods to establish predictive models for",https://www.academia.edu/download/102985035/006c5c1eaaa888cc471bb6db9c687b9029c0.pdf,110
Rules of machine learning: Best practices for ML engineering,['M Zinkevich'],,2017,"with a basic knowledge of machine learning get the benefit of best practices in machine  learning from around Google. It presents a style for machine learning, similar to the Google C++",https://martin.zinkevich.org/rules_of_ml/rules_of_ml.pdf,94
Applications of artificial neural networks and machine learning in civil engineering,['A Kaveh'],,2024,", including supervised learning, unsupervised learning, and reinforcement learning. Algorithms  used in machine learning are among these three categories. Machine learning is a field","/scholar?output=instlink&q=info:vennobOI-FUJ:scholar.google.com/&hl=en&as_sdt=0,33&scillfp=11770632445177338968&oi=lle",56
Software engineering challenges for machine learning applications: A literature review,['F Kumeno'],,2019,between machine learning applications and traditional information systems. Machine learning   to clarify the software engineering challenges for machine learning applications that either,https://content.iospress.com/articles/intelligent-decision-technologies/idt190160,89
What is machine learning?,"['I El Naqa', 'MJ Murphy']",,2015,"Machine learning has both engineering science aspects such as data structures, algorithms,  probability and statistics, and information and control theory and social science aspects by",https://repository.kaust.edu.sa/server/api/core/bitstreams/798f4362-602a-47d4-91a3-c52e45358ed7/content,1533
The art of feature engineering: essentials for machine learning,['P Duboue'],,2020,,,135
Leveraging knowledge engineering and machine learning for microbial bio-manufacturing,"['T Oyetunde', 'FS Bao', 'JW Chen', 'HG Martin']",,2018,"In order to develop quality ML models, knowledge engineering leverages and standardizes   , and machine learning techniques (such as deep learning and transfer learning), which may",https://www.sciencedirect.com/science/article/pii/S0734975018300806,81
Mechanistically informed machine learning and artificial intelligence in fire engineering and sciences,['MZ Naser'],,2021,3 An Overview to Machine Learning and Artificial Intelligence This section provides an  overview to machine learning (ML) and artificial intelligence (AI). The aim of this overview is to,https://link.springer.com/article/10.1007/s10694-020-01069-8,112
Adoption and effects of software engineering best practices in machine learning,"['A Serban', 'K Van der Blom', 'H Hoos']",,2020,applications with machine learning (ML) components calls for mature engineering techniques   We mined both academic and grey literature and identified 29 engineering best practices,https://dl.acm.org/doi/pdf/10.1145/3382494.3410681,152
Adaptive machine learning for protein engineering,"['BL Hie', 'KK Yang']",,2022,"emerging as a useful protein engineering tool. However, when  -to-function machine-learning  surrogate model to select  through a single round of machine-learning optimization. Then,",https://www.sciencedirect.com/science/article/pii/S0959440X21001457,95
DDoS attack detection with feature engineering and machine learning: the framework and performance evaluation,"['M Aamir', 'SMA Zaidi']",,2019,engineering and machine learning to detect distributed denial-of-service (DDoS) attacks.  Feature engineering  Different supervised machine learning models are applied on the feature-,https://link.springer.com/article/10.1007/s10207-019-00434-1,112
"Data-centric Engineering: integrating simulation, machine learning and statistics. Challenges and opportunities","['I Pan', 'LR Mason', 'OK Matar']",,2022,"Recent advances in machine learning, coupled with low-cost  New hybrid, data-centric  engineering approaches,  field of integrating simulations, machine learning, and statistics. We",https://www.sciencedirect.com/science/article/pii/S0009250921008368,72
Towards accountability for machine learning datasets: Practices from software engineering and infrastructure,"['B Hutchinson', 'A Smart', 'A Hanna', 'E Denton']",,2021,"and methods of engineering, we argue that dataset development is essentially a form of  engineering practice (Section 3). Building on this, we show how software engineering and",https://dl.acm.org/doi/pdf/10.1145/3442188.3445918,336
Applications of machine learning and rule induction,"['P Langley', 'HA Simon']",,1995,"-specific knowledge, and knowledge engineering has produced hundreds of AI expert   Machine learning aims to provide increasing levels of automation in the knowledge engineering",https://dl.acm.org/doi/pdf/10.1145/219717.219768,876
Machine learning-assisted enzyme engineering,"['NE Siedhoff', 'U Schwaneberg', 'MD Davari']",,2020,"powerful strategies in protein engineering to tailor enzyme  Traditional approaches for  enzyme engineering and directed  machine learning (ML), data-driven enzyme engineering is",https://www.sciencedirect.com/science/article/pii/S0076687920302275,97
Machine learning applications in systems metabolic engineering,"['GB Kim', 'WJ Kim', 'HU Kim', 'SY Lee']",,2020,"In this paper, recent contributions of machine learning approaches to each major step of   engineering are discussed. As the use of machine learning in systems metabolic engineering",https://www.sciencedirect.com/science/article/pii/S0958166919300643,159
Machine learning applications in software engineering,"['D Zhang', 'JJP Tsai']",,2005,Machine learning deals with the issue of how to build computer programs that improve their  performance at some tasks through experience. Machine learning  of software engineering,,79
A taxonomy of software engineering challenges for machine learning systems: An empirical investigation,"['LE Lwakatare', 'A Raj', 'J Bosch', 'HH Olsson']",,2019,"machine learning components. Using case study approach, we explored the development of  machine learning  and identified main software engineering challenges. The challenges are",https://library.oapen.org/bitstream/handle/20.500.12657/23099/1007059.pdf?sequence=1#page=233,257
Combining machine learning and process engineering physics towards enhanced accuracy and explainability of data-driven models,"['T Bikmukhametov', 'J Jäschke']",,2020,"Therefore, we adopt an engineering approach here in this paper, where we present different  approaches for combining machine learning and simplified first principles models, and then",https://www.sciencedirect.com/science/article/pii/S0098135419313675,175
Inverse molecular design using machine learning: Generative models for matter engineering,"['B Sanchez-Lengeling', 'A Aspuru-Guzik']",,2018,"Recent advances from the rapidly growing field of artificial intelligence, mostly from the  subfield of machine learning, have resulted in a fertile exchange of ideas, where approaches to",https://www.science.org/doi/full/10.1126/science.aat2663,1714
Studying software engineering patterns for designing machine learning systems,"['H Washizaki', 'H Uchida', 'F Khomh']",,2019,"We performed an SLR of both academic and gray literature to collect software-engineering   Engineering Village, which is a search platform providing access to 12 trusted engineering",https://ieeexplore.ieee.org/iel7/8942804/8945068/08945075.pdf,105
"Machine learning: neural networks, genetic algorithms, and fuzzy systems","['H Adeli', 'SL Hung']",,1994,"While automatic learning is still in its infancy, enormous strides have already been  learning  capability. This book offers in-depth coverage of the latest developments in machine learning",,803
Machine learning for financial engineering,"['L Gyorfi', 'G Ottucsak', 'H Walk']",,2012,This volume investigates algorithmic methods based on machine learning in order to design  sequential investment strategies for financial markets. Such sequential investment,,77
Machine-learning-guided directed evolution for protein engineering,"['KK Yang', 'Z Wu', 'FH Arnold']",,2019,"sequence–function models and to use those models to guide engineering,  machine learning  for protein engineering, as well as the current literature and applications of this engineering",https://www.nature.com/articles/s41592-019-0496-6,957
Machine learning model towards evaluating data gathering methods in manufacturing and mechanical engineering,"['M Amini', 'K Sharifani', 'A Rahmani']",,2023,Supervised Machine Learning (ML) models require extensive training data to properly  approximate the behavior of complex mechanical processes and systems. Real-world,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4331917,130
"Machine learning, medical diagnosis, and biomedical engineering research-commentary","['KR Foster', 'R Koprowski', 'JD Skufca']",,2014,"of artificial intelligence or machine learning, in which a  This commentary focuses on use  of support vector machines  would apply to other machine learning techniques as well. The",https://link.springer.com/article/10.1186/1475-925X-13-94,450
"Machine learning for biologics: opportunities for protein engineering, developability, and formulation","['H Narayanan', 'F Dingfelder', 'A Butté', 'N Lorenzen']",,2021,(B) Outline of the areas discussed in this review with key examples of machine learning  applications. 'Parallelization with AI' indicates opportunities of AI to simultaneously optimize,https://www.sciencedirect.com/science/article/pii/S0165614720302856,123
Machine learning for predictive modelling based on small data in biomedical engineering,"['T Shaikhina', 'D Lowe', 'S Daga', 'D Briggs', 'R Higgins']",,2015,"Experimental datasets in bioengineering are commonly limited in size, thus rendering Machine  Learning (ML) impractical for predictive modelling. Novel techniques of multiple runs for",https://www.researchgate.net/profile/Natasha-Khovanova/publication/284190354_Machine_Learning_for_Predictive_Modelling_based_on_Small_Data_in_Biomedical_Engineering/links/564faaca08ae1ef9296ebbc5/Machine-Learning-for-Predictive-Modelling-based-on-Small-Data-in-Biomedical-Engineering.pdf,122
StructuresNet and FireNet: Benchmarking databases and machine learning algorithms in structural and fire engineering domains,"['MZ Naser', 'V Kodur', 'HT Thai', 'R Hawileh']",,2021,"Machine learning (ML) continues to rise as an effective and affordable method of tackling  engineering  Unlike other disciplines, the integration of ML into structural and fire engineering",https://www.sciencedirect.com/science/article/pii/S2352710221008354,80
Combining mechanistic and machine learning models for predictive engineering and optimization of tryptophan metabolism,"['J Zhang', 'SD Petersen', 'T Radivojevic', 'A Ramirez']",,2020,"and engineering living systems. Here we show that mechanistic and machine learning   We use a genome-scale model to pinpoint engineering targets, efficient library construction",https://www.nature.com/articles/s41467-020-17910-1,234
A systematic literature review on federated machine learning: From a software engineering perspective,"['SK Lo', 'Q Lu', 'C Wang', 'HY Paik', 'L Zhu']",,2021,"learning and explore how to develop federated learning systems, we perform a systematic  literature review from a software engineering  of federated learning system development that",https://dl.acm.org/doi/fullHtml/10.1145/3450288,211
Engineering proteinase K using machine learning and synthetic genes,"['J Liao', 'MK Warmuth', 'S Govindarajan', 'JE Ness']",,2007,To test machine learning-based protein engineering we chose to optimize proteinase K-catalyzed  hydrolysis of the tetrapeptide N-Succinyl-Ala-Ala-Pro-Leu p-nitroanilide following a,https://link.springer.com/article/10.1186/1472-6750-7-16,134
Deep dive into machine learning models for protein engineering,"['Y Xu', 'D Verma', 'RP Sheridan', 'A Liaw', 'J Ma']",,2020,"of using machine learning for protein engineering, and this article gives two application  examples. However, the discussion and recommendation for choosing a machine-learning",https://pubs.acs.org/doi/full/10.1021/acs.jcim.0c00073,212
Bitcoin price prediction using machine learning: An approach to sample dimension engineering,"['Z Chen', 'C Li', 'W Sun']",,2020,"Although existing studies have leveraged machine learning  different frequencies using  machine learning techniques, we  outperforming more complicated machine learning algorithms.",https://www.sciencedirect.com/science/article/pii/S037704271930398X,455
On applied research in machine learning,"['F Provost', 'R Kohavi']",,1998,"Application papers are essential in order for Machine Learning to remain a viable  of  machine learning methods. Much of the \science"" of Machine Learning is a science of engineering.",https://ai.stanford.edu/~ronnyk/editorial.pdf,355
A machine learning approach for engineering bulk metallic glass alloys,"['L Ward', ""SC O'Keeffe"", 'J Stevick', 'GR Jelbert', 'M Aykol']",,2018,experimentally validate a machine learning framework for accelerating  We then used machine  learning to create models for three key  These machine learning models could enable the,https://www.sciencedirect.com/science/article/pii/S1359645418306268,230
From predictive modelling to machine learning and reverse engineering of colloidal self-assembly,"['M Dijkstra', 'E Luijten']",,2021,"We also discuss the recent surge of interest in machine learning and reverse-engineering  methods. Although their implementation in the colloidal realm is still in its infancy, we",https://www.nature.com/articles/s41563-021-01014-2,135
An overview of opportunities for machine learning methods in underground rock engineering design,"['J Morgenroth', 'UT Khan', 'MA Perras']",,2019,"rock engineering design, as well as a review of literature and methods at the intersection of  machine learning and rock engineering machine learning into conventional rock engineering",https://www.mdpi.com/2076-3263/9/12/504,78
Deep elastic strain engineering of bandgap through machine learning,"['Z Shi', 'E Tsymbalov', 'M Dao', 'S Suresh']",,2019,combines machine learning and ab initio calculations to guide strain engineering whereby   of merit by recourse to deep elastic strain engineering and machine learning for a variety of,https://www.pnas.org/doi/full/10.1073/pnas.1818555116,103
"Combustion machine learning: Principles, progress and prospects","['M Ihme', 'WT Chung', 'AA Mishra']",,2022,and scientific investigations through combustion machine learning (CombML).  engineering.  This article examines ML techniques for applications in combustion science and engineering,https://www.sciencedirect.com/science/article/pii/S0360128522000193,181
On challenges in machine learning model management,"['S Schelter', 'F Biessmann', 'T Januschowski', 'D Salinas']",,2015,"machine learning and production level software engineering  a solid understanding of  machine learning fundamentals and  learning, policy-based learning, and/or machine learning",https://www.amazon.science/publications/on-challenges-in-machine-learning-model-management,224
Inductive Logic Programming: from machine learning to software engineering,"['F Bergadano', 'D Gunetti']",,1996,"Another kind of reverse engineering that is of interest  Machine Learning research, and  typically devoted to classification problems. The view of ILP as a source of Software Engineering",,171
Expansion of Machine Learning Employment in Engineering Learning: A Review of Selected Literature,['HP Adusumalli'],,2019,"in the implementation of machine learning in a variety of engineering fields. The research   As a result of the findings, machine learning has been widely implemented in engineering",,16
"Machine learning operations (mlops): Overview, definition, and architecture","['D Kreuzberger', 'N Kühl', 'S Hirschl']",,2023,"It becomes obvious that the term MLOps is positioned at the intersection of machine learning,  software engineering, DevOps, and data engineering (see Figure 5 in the Appendix). We",https://ieeexplore.ieee.org/iel7/6287639/6514899/10081336.pdf,454
Hardware trust and assurance through reverse engineering: A tutorial and outlook from image analysis and machine learning perspectives,"['UJ Botero', 'R Wilson', 'H Lu', 'MT Rahman']",,2021,outcomes of the reverse engineering process. This  machine learning. These two fields of  study form a firm basis for the enhancement of efficiency and accuracy of reverse engineering,https://dl.acm.org/doi/fullHtml/10.1145/3464959,107
Using machine learning and feature engineering to characterize limited material datasets of high-entropy alloys,"['D Dai', 'T Xu', 'X Wei', 'G Ding', 'Y Xu', 'J Zhang']",,2020,"In this study, we attempted to predict the phase formation based on feature engineering  and machine learning (ML) with a small dataset. The descriptor dimensionality is augmented",https://www.sciencedirect.com/science/article/pii/S0927025620301099,151
Evidence-based clinical engineering: Machine learning algorithms for prediction of defibrillator performance,"['A Badnjević', 'LG Pokvić', 'M Hasičić', 'L Bandić']",,2019,"engineering and health technology management benefit from application of machine learning  in  Automated systems, based on machine learning algorithms, can predict defibrillator",https://www.sciencedirect.com/science/article/pii/S1746809419302101,107
Feature Engineering Made Easy: Identify unique features from your dataset in order to build powerful machine learning systems,"['S Ozdemir', 'D Susarla']",,2018,"In order to definitely say whether or not a particular feature engineering procedure has  helped our machine learning algorithm, we will follow the steps detailed in the following section.",,91
Machine-learning engineering of quantum currents,"['T Haug', 'R Dumke', 'LC Kwek', 'C Miniatura', 'L Amico']",,2021,"machine learning can effectively address this challenge and outperform the current existing  methods. To this end, we exploit deep reinforcement learning  deep reinforcement learning to",https://link.aps.org/pdf/10.1103/PhysRevResearch.3.013034,26
"iLearn: an integrated platform and meta-learner for feature engineering, machine-learning analysis and modeling of DNA, RNA and protein sequence data","['Z Chen', 'P Zhao', 'F Li', 'TT Marquez-Lago']",,2020,"Lastly, feature analysis is yet another crucial step in machine learning of sequence analysis.   His research interests include protein bioinformatics, machine learning and analysis of next-",https://academic.oup.com/bib/article/21/3/1047/5475015,368
Using machine learning and data mining to leverage community knowledge for the engineering of stable metal–organic frameworks,"['A Nandy', 'C Duan', 'HJ Kulik']",,2021,"Although the tailored metal active sites and porous architectures of MOFs hold great  promise for engineering challenges ranging from gas separations to catalysis, a lack of",https://pubs.acs.org/doi/full/10.1021/jacs.1c07217,119
A physics-informed machine learning approach for solving heat transfer equation in advanced manufacturing and engineering applications,"['N Zobeiry', 'KD Humfeld']",,2021,"In this study, a physics-informed machine learning approach was developed to solve the  heat transfer PDE with convective BCs. This was based on training a neural network using a",https://www.sciencedirect.com/science/article/pii/S0952197621000798,289
Machine learning applications for building structural design and performance assessment: State-of-the-art review,"['H Sun', 'HV Burton', 'H Huang']",,2021,"of machine learning to the area of building structural design and performance assessment.  To this end, an overview of machine learning  machine learning into structural engineering",https://www.sciencedirect.com/science/article/pii/S2352710220334495,448
An overview of machine learning,"['JG Carbonell', 'RS Michalski', 'TM Mitchell']",,1983,concept of machine learning. The study and computer modeling of learning processes in   The traditional argument that an engineering approach need not reflect human or biological,"/scholar?output=instlink&q=info:0nyGFoiNDiIJ:scholar.google.com/&hl=en&as_sdt=0,33&scillfp=15534900070541129528&oi=lle",1035
Machine learning approaches to knowledge synthesis and integration tasks for advanced engineering automation,['SCY Lu'],,1990,"Department of Mechanical and Industrial Engineering, Unitersit),  machine learning approaches  from AI research as knowledge processing tools to synthesize and integrate engineering","/scholar?output=instlink&q=info:6LiYcPsPx0IJ:scholar.google.com/&hl=en&as_sdt=0,33&scillfp=12524317334584716523&oi=lle",72
